scenario,seed,model,noise_sigma,corruption_rate,imputer,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters
noise_injection,13,L2-LR,0.5,0.0,none,192,48,0.75,0.5,0.5,0.5,0.6666666666666667,0.005542799997783732,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
noise_injection,13,LDA,0.5,0.0,none,192,48,0.7916666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6388888888888888,0.0009776000006240793,0.02974700927734375,{}
noise_injection,13,GNB,0.5,0.0,none,192,48,0.75,0.5,0.3333333333333333,0.4,0.611111111111111,0.001244899998710025,0.02919769287109375,{}
noise_injection,42,LR-Newton,0.5,0.0,none,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.003982000001997221,0.0644378662109375,"{""n_iterations"": 8, ""tol"": 1e-06}"
noise_injection,42,L2-LR,0.5,0.0,none,192,48,0.7916666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7222222222222223,0.0057826000011118595,0.0326385498046875,"{""learning_rate"": 0.1, ""n_iterations"": 8, ""reg_type"": ""l2"", ""reg_lambda"": 1.0, ""class_weight"": null}"
noise_injection,42,LDA,0.5,0.0,none,192,48,0.8125,0.6666666666666666,0.5,0.5714285714285714,0.7083333333333333,0.0009362999990116805,0.02974700927734375,{}
noise_injection,42,GNB,0.5,0.0,none,192,48,0.7708333333333334,0.5384615384615384,0.5833333333333334,0.56,0.7083333333333334,0.0011704000025929417,0.02919769287109375,{}
feature_corruption,42,LR-Newton,0.0,0.0,mean,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0,0.0,baseline_clean_reused
feature_corruption,42,L2-LR,0.0,0.0,mean,192,48,0.7708333333333334,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6527777777777778,0.0,0.0,baseline_clean_reused
feature_corruption,42,LDA,0.0,0.0,mean,192,48,0.8541666666666666,0.8571428571428571,0.5,0.631578947368421,0.7361111111111112,0.0,0.0,baseline_clean_reused
