scenario,split_ratio,seed,model,n_train,n_test,accuracy,precision,recall,f1,balanced_acc,train_time_s,peak_memory_mb,hyperparameters,noise_sigma,corruption_rate,imputer
noise_injection,,13,GNB,9600,2400,0.7916666666666666,0.6477272727272727,0.2958477508650519,0.4061757719714964,0.6224024703831297,0.004499100032262504,1.3996047973632812,{},0.1,0.0,none
noise_injection,,42,LR-Newton,9600,2400,0.82125,0.7075208913649025,0.43944636678200694,0.5421558164354322,0.6909086938191045,0.10623830003896728,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.1,0.0,none
noise_injection,,42,L2-LR,9600,2400,0.82,0.7122093023255814,0.42387543252595156,0.5314533622559653,0.6847697689523281,0.6802839000010863,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.1,0.0,none
noise_injection,,42,LDA,9600,2400,0.8125,0.693939393939394,0.3961937716262976,0.5044052863436123,0.6703800910820841,0.002696199982892722,1.5784683227539062,{},0.1,0.0,none
noise_injection,,42,GNB,9600,2400,0.79125,0.6452830188679245,0.2958477508650519,0.4056939501779359,0.6221280466729211,0.009478599997237325,1.3996047973632812,{},0.1,0.0,none
noise_injection,,77,LR-Newton,9600,2400,0.81875,0.696969696969697,0.43771626297577854,0.5377258235919236,0.6886715233649474,0.1305250000441447,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.1,0.0,none
noise_injection,,77,L2-LR,9600,2400,0.82,0.7122093023255814,0.42387543252595156,0.5314533622559653,0.6847697689523281,0.579741399968043,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.1,0.0,none
noise_injection,,77,LDA,9600,2400,0.8104166666666667,0.6880733944954128,0.3892733564013841,0.4972375690607735,0.6666454597594187,0.003557500021997839,1.5784683227539062,{},0.1,0.0,none
noise_injection,,77,GNB,9600,2400,0.79125,0.6452830188679245,0.2958477508650519,0.4056939501779359,0.6221280466729211,0.002503100025933236,1.3996047973632812,{},0.1,0.0,none
noise_injection,,123,LR-Newton,9600,2400,0.8204166666666667,0.703601108033241,0.43944636678200694,0.5410010649627264,0.6903598463986873,0.12975929997628555,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.1,0.0,none
noise_injection,,123,L2-LR,9600,2400,0.82125,0.717201166180758,0.42560553633217996,0.5342019543973942,0.6861836682758594,0.4282225000206381,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.1,0.0,none
noise_injection,,123,LDA,9600,2400,0.8120833333333334,0.6918429003021148,0.3961937716262976,0.5038503850385039,0.6701056673718755,0.005122699949424714,1.5784683227539062,{},0.1,0.0,none
noise_injection,,123,GNB,9600,2400,0.7908333333333334,0.6428571428571429,0.2958477508650519,0.4052132701421801,0.6218536229627125,0.003730199998244643,1.3996047973632812,{},0.1,0.0,none
noise_injection,,2026,LR-Newton,9600,2400,0.8208333333333333,0.7021857923497268,0.444636678200692,0.5444915254237288,0.6924061546876128,0.13068699999712408,3.2245559692382812,"{""n_iterations"": 25, ""tol"": 1e-06}",0.1,0.0,none
noise_injection,,2026,L2-LR,9600,2400,0.8195833333333333,0.7138643067846607,0.4186851211072664,0.5278080697928026,0.6827234606634027,0.608717399998568,1.6562271118164062,"{""learning_rate"": 0.1, ""n_iterations"": 220, ""reg_type"": ""l2"", ""reg_lambda"": 0.001, ""class_weight"": null}",0.1,0.0,none
